"Common name","Binomial","Notes"
"Red-tailed Tropicbird","Phaethon rubricauda",""
"White-tailed Tropicbird","Phaethon lepturus",""
"Australasian Grebe","Tachybaptus novaehollandiae",""
"Little Grebe","Tachybaptus ruficollis","vagrant"
"Hoary-headed Grebe","Poliocephalus poliocephalus",""
"Great Crested Grebe","Podiceps cristatus",""
"Rock Pigeon","Columba livia","introduced"
"White-throated Pigeon","Columba vitiensis","extinct, Lord Howe Island"
"White-headed Pigeon","Columba leucomela",""
"Barbary Dove","Streptopelia roseogrisea","introduced"
"Red Collared Dove","Streptopelia tranquebarica","introduced, Christmas Island"
"Laughing Dove","Streptopelia senegalensis","introduced"
"Spotted Dove","Streptopelia chinensis","introduced"
"Brown Cuckoo-Dove","Macropygia amboinensis",""
"Emerald Dove","Chalcophaps indica",""
"Common Bronzewing","Phaps chalcoptera",""
"Brush Bronzewing","Phaps elegans",""
"Flock Bronzewing","Phaps histrionica",""
"Crested Pigeon","Ocyphaps lophotes",""
"Spinifex Pigeon","Geophaps plumifera",""
"Partridge Pigeon","Geophaps smithii",""
"Squatter Pigeon","Geophaps scripta",""
"White-quilled Rock-Pigeon","Petrophassa albipennis",""
"Chestnut-quilled Rock-Pigeon","Petrophassa rufipennis",""
"Diamond Dove","Geopelia cuneata",""
"Peaceful Dove","Geopelia striata",""
"Bar-shouldered Dove","Geopelia humeralis",""
"Wonga Pigeon","Leucosarcia picata",""
"Norfolk Island Ground-Dove","Gallicolumba norfolciensis","extinct, Norfolk Island"
"Banded Fruit-Dove","Ptilinopus cinctus",""
"Wompoo Fruit-Dove","Ptilinopus magnificus",""
"Superb Fruit-Dove","Ptilinopus superbus",""
"Rose-crowned Fruit-Dove","Ptilinopus regina",""
"Orange-bellied Fruit-Dove","Ptilinopus iozonus","vagrant, Torres Strait"
"Elegant Imperial-Pigeon","Ducula concinna","vagrant"
"Christmas Island Imperial Pigeon","Ducula whartoni","Christmas Island"
"Collared Imperial-Pigeon","Ducula mullerii","vagrant, Torres Strait"
"Torresian Imperial-pigeon","Ducula spilorrhoa",""
"Topknot Pigeon","Lopholaimus antarcticus",""
"New Zealand Pigeon","Hemiphaga novaeseelandiae","locally extinct, Norfolk Island"
"Tawny Frogmouth","Podargus strigoides",""
"Papuan Frogmouth","Podargus papuensis",""
"Marbled Frogmouth","Podargus ocellatus",""
"White-throated Nightjar","Eurostopodus mystacalis",""
"Spotted Nightjar","Eurostopodus argus",""
"Large-tailed Nightjar","Caprimulgus macrurus",""
"Savanna Nightjar","Caprimulgus affinis","vagrant, Christmas Island"
"Grey Nightjar","Caprimulgus indicus","vagrant, Ashmore Reef"
"Australian Owlet-nightjar","Aegotheles cristatus",""
"Glossy Swiftlet","Collocalia esculenta","vagrant"
"Linchi Swiftlet","Collocalia linchi","Christmas Island"
"Australian Swiftlet","Aerodramus terraereginae",""
"Uniform Swiftlet","Aerodramus vanikorensis","vagrant"
"White-throated Needletail","Hirundapus caudacutus",""
"Papuan Spine-tailed Swift","Mearnsia novaeguineae","vagrant, Torres Strait"
"Fork-tailed Swift","Apus pacificus",""
"House Swift","Apus affinis","vagrant"
"Swinhoe's Storm-Petrel","Hydrobates monorhis","vagrant"
"Leach's Storm-Petrel","Hydrobates leucorhoa","vagrant"
"Tristram's Storm-Petrel","Hydrobates tristrami","vagrant"
"Matsudaira's Storm-Petrel","Hydrobates matsudairae","vagrant"
"Polynesian Storm-petrel","Nesofregetta fuliginosa","vagrant"
"Wilson's Storm-Petrel","Oceanites oceanicus",""
"Grey-backed Storm-Petrel","Garrodia nereis",""
"White-faced Storm-Petrel","Pelagodroma marina",""
"Black-bellied Storm-Petrel","Fregetta tropica",""
"White-bellied Storm-Petrel","Fregetta grallaria",""
"Wandering Albatross","Diomedea exulans",""
"Royal Albatross","Diomedea epomophora",""
"Laysan Albatross","Phoebastria immutabilis","vagrant"
"Black-browed Albatross","Thalassarche melanophris",""
"Shy Albatross","Thalassarche cauta",""
"Grey-headed Albatross","Thalassarche chrysostoma",""
"Yellow-nosed Albatross","Thalassarche chlororhynchos",""
"Buller's Albatross","Thalassarche bulleri",""
"Sooty Albatross","Phoebetria fusca",""
"Light-mantled Sooty Albatross","Phoebetria palpebrata",""
"Southern Giant-Petrel","Macronectes giganteus",""
"Northern Giant-Petrel","Macronectes halli",""
"Southern Fulmar","Fulmarus glacialoides",""
"Antarctic Petrel","Thalassoica antarctica",""
"Cape Petrel","Daption capense",""
"Snow Petrel","Pagodroma nivea","vagrant, Heard Island"
"Blue Petrel","Halobaena caerulea",""
"Broad-billed Prion","Pachyptila vittata",""
"Salvin's Prion","Pachyptila salvini",""
"Antarctic Prion","Pachyptila desolata",""
"Slender-billed Prion","Pachyptila belcheri",""
"Fairy Prion","Pachyptila turtur",""
"Fulmar Prion","Pachyptila crassirostris","vagrant; Heard Island"
"White-chinned Petrel","Procellaria aequinoctialis",""
"Westland Petrel","Procellaria westlandica","vagrant"
"Black Petrel","Procellaria parkinsoni",""
"Grey Petrel","Procellaria cinerea",""
"Bulwer's Petrel","Bulweria bulwerii","vagrant"
"Jouanin's Petrel","Bulweria fallax","vagrant"
"Wedge-tailed Shearwater","Ardenna pacifica",""
"Buller's Shearwater","Ardenna bulleri",""
"Flesh-footed Shearwater","Ardenna carneipes",""
"Pink-footed Shearwater","Ardenna creatopus","vagrant"
"Great Shearwater","Ardenna gravis","vagrant"
"Sooty Shearwater","Ardenna grisea",""
"Short-tailed Shearwater","Ardenna tenuirostris",""
"Streaked Shearwater","Calonectris leucomelas",""
"Manx Shearwater","Puffinus puffinus","vagrant"
"Newell's Shearwater","Puffinus newelli","vagrant"
"Fluttering Shearwater","Puffinus gavia",""
"Hutton's Shearwater","Puffinus huttoni",""
"Audubon's Shearwater","Puffinus lherminieri","vagrant"
"Little Shearwater","Puffinus assimilis",""
"Tahiti Petrel","Pseudobulweria rostrata",""
"Kerguelen Petrel","Lugensa brevirostris",""
"Barau's Petrel","Pterodroma baraui","vagrant"
"Juan Fernandez Petrel","Pterodroma externa","vagrant"
"Kermadec Petrel","Pterodroma neglecta","vagrant; Lord Howe Island; Norfolk Island"
"Herald Petrel","Pterodroma heraldica",""
"Soft-plumaged Petrel","Pterodroma mollis",""
"White-headed Petrel","Pterodroma lessonii",""
"Great-winged Petrel","Pterodroma macroptera",""
"Providence Petrel","Pterodroma solandri",""
"Mottled Petrel","Pterodroma inexpectata",""
"Gould's Petrel","Pterodroma leucoptera",""
"Cook's Petrel","Pterodroma cookii","vagrant"
"White-necked Petrel","Pterodroma cervicalis","vagrant; Norfolk Island"
"Vanuatu Petrel","Pterodroma occulta","vagrant"
"Black-winged Petrel","Pterodroma nigripennis",""
"Atlantic Petrel","Pterodroma incerta","vagrant"
"Common Diving-Petrel","Pelecanoides urinatrix",""
"South Georgian Diving-Petrel","Pelecanoides georgicus","vagrant; Macquarie Island; Heard Island"
"King Penguin","Aptenodytes patagonicus","vagrant; Macquarie Island; Heard Island"
"Emperor Penguin","Aptenodytes forsteri","vagrant, Heard Island"
"Gentoo Penguin","Pygoscelis papua","vagrant; Macquarie Island; Heard Island"
"Adelie Penguin","Pygoscelis adeliae","vagrant, Macquarie Island, Heard Island"
"Chinstrap Penguin","Pygoscelis antarcticus","vagrant"
"Rockhopper Penguin","Eudyptes chrysocome","vagrant; Macquarie Island; Heard Island"
"Fiordland Penguin","Eudyptes pachyrhynchus",""
"Erect-crested Penguin","Eudyptes sclateri","vagrant"
"Macaroni Penguin","Eudyptes chrysolophus","vagrant; Macquarie Island; Heard Island"
"Little Penguin","Eudyptula minor",""
"Magellanic Penguin","Spheniscus magellanicus","vagrant"
"Lesser Frigatebird","Fregata ariel",""
"Great Frigatebird","Fregata minor",""
"Christmas Island Frigatebird","Fregata andrewsi","vagrant; Christmas Island"
"Abbott's Booby","Papasula abbotti","vagrant; Christmas Island"
"Cape Gannet","Morus capensis","vagrant"
"Australasian Gannet","Morus serrator",""
"Masked Booby","Sula dactylatra",""
"Red-footed Booby","Sula sula",""
"Brown Booby","Sula leucogaster",""
"Australasian Darter","Anhinga novaehollandiae",""
"Little Pied Cormorant","Microcarbo melanoleucos",""
"Great Cormorant","Phalacrocorax carbo",""
"Little Black Cormorant","Phalacrocorax sulcirostris",""
"Pied Cormorant","Phalacrocorax varius",""
"Black-faced Cormorant","Phalacrocorax fuscescens",""
"Imperial Shag","Leucocarbo atriceps","Macquarie Island, Heard Island"
"Kerguelen Shag","Leucocarbo verrucosus","vagrant"
"Australian Pelican","Pelecanus conspicillatus",""
"Black-necked Stork","Ephippiorhynchus asiaticus",""
"Australasian Bittern","Botaurus poiciloptilus",""
"Australian Little Bittern","Ixobrychus dubius",""
"Yellow Bittern","Ixobrychus sinensis","vagrant"
"Schrenck's Bittern","Ixobrychus eurhythmus","vagrant, Christmas Island"
"Cinnamon Bittern","Ixobrychus cinnamomeus","vagrant, Christmas Island"
"Black Bittern","Ixobrychus flavicollis",""
"Grey Heron","Ardea cinerea","vagrant"
"White-necked Heron","Ardea pacifica",""
"Eastern Great Egret","Ardea modesta",""
"Intermediate Egret","Ardea intermedia",""
"Great-billed Heron","Ardea sumatrana",""
"Cattle Egret","Ardea ibis",""
"Striated Heron","Butorides striatus",""
"Chinese Pond Heron","Ardeola bacchus","vagrant, Cocos (Keeling) Islands"
"Javan Pond Heron","Ardeola speciosa","vagrant"
"Pied Heron","Egretta picata",""
"White-faced Heron","Egretta novaehollandiae",""
"Little Egret","Egretta garzetta",""
"Eastern Reef Egret","Egretta sacra",""
"Black-crowned Night Heron","Nycticorax nycticorax","vagrant, Cocos (Keeling) Islands"
"Nankeen Night Heron","Nycticorax caledonicus",""
"Malayan Night Heron","Gorsachius melanolophus","vagrant, Christmas Island"
"Glossy Ibis","Plegadis falcinellus",""
"Australian White Ibis","Threskiornis molucca",""
"Straw-necked Ibis","Threskiornis spinicollis",""
"Royal Spoonbill","Platalea regia",""
"Yellow-billed Spoonbill","Platalea flavipes",""
"Black-shouldered Kite","Elanus axillaris",""
"Letter-winged Kite","Elanus scriptus",""
"Square-tailed Kite","Lophoictinia isura",""
"Black-breasted Buzzard","Hamirostra melanosternon",""
"Oriental Honey-buzzard","Pernis ptilorhynchus","vagrant"
"Pacific Baza","Aviceda subcristata",""
"White-bellied Sea-Eagle","Haliaeetus leucogaster",""
"Whistling Kite","Haliastur sphenurus",""
"Brahminy Kite","Haliastur indus",""
"Black Kite","Milvus migrans",""
"Brown Goshawk","Accipiter fasciatus",""
"Collared Sparrowhawk","Accipiter cirrocephalus",""
"Variable Goshawk","Accipiter hiogaster","Christmas Island"
"Grey Goshawk","Accipiter novaehollandiae",""
"Spotted Harrier","Circus assimilis",""
"Swamp Harrier","Circus approximans",""
"Red Goshawk","Erythrotriorchis radiatus",""
"Gurney's Eagle","Aquila gurneyi","vagrant, Torres Strait"
"Wedge-tailed Eagle","Aquila audax",""
"Little Eagle","Hieraaetus morphnoides",""
"Eastern Osprey","Pandion haliaetus / Pandion cristatus",""
"Nankeen Kestrel","Falco cenchroides",""
"Brown Falcon","Falco berigora",""
"Australian Hobby","Falco longipennis",""
"Grey Falcon","Falco hypoleucos",""
"Black Falcon","Falco subniger",""
"Peregrine Falcon","Falco peregrinus",""
"Sarus Crane","Grus antigone",""
"Brolga","Grus rubicunda",""
"Purple Swamphen","Porphyrio porphyrio",""
"White Gallinule","Porphyrio albus","extinct, Lord Howe Island"
"Chestnut Rail","Eulabeornis castaneoventris",""
"Red-necked Crake","Rallina tricolor",""
"Red-legged Crake","Rallina fasciata","vagrant"
"Lewin's Rail","Lewinia pectoralis",""
"Buff-banded Rail","Gallirallus philippensis",""
"Lord Howe Woodhen","Gallirallus sylvestris","Lord Howe Island"
"Corncrake","Crex crex","vagrant"
"Baillon's Crake","Porzana pusilla",""
"Australian Spotted Crake","Porzana fluminea",""
"Ruddy-breasted Crake","Porzana fusca","vagrant, Christmas Island"
"Spotless Crake","Porzana tabuensis",""
"White-browed Crake","Amaurornis cinerea",""
"Pale-vented Bush-hen","Amaurornis moluccana",""
"White-breasted Waterhen","Amaurornis phoenicurus","vagrant, Christmas Island, Cocos (Keeling) Islands"
"Watercock","Gallicrex cinerea","vagrant, Christmas Island"
"Black-tailed Native-hen","Tribonyx ventralis",""
"Tasmanian Native-hen","Tribonyx mortierii",""
"Dusky Moorhen","Gallinula tenebrosa",""
"Eurasian Coot","Fulica atra",""
"Australian Bustard","Ardeotis australis",""
"Black-faced Sheathbill","Chionis minor","Heard Island"
"Bush Stone-curlew","Burhinus grallarius",""
"Beach Stone-curlew","Esacus magnirostris",""
"South Island Pied Oystercatcher","Haematopus finschi","vagrant"
"Australian Pied Oystercatcher","Haematopus longirostris",""
"Sooty Oystercatcher","Haematopus fuliginosus",""
"Black-winged Stilt","Himantopus himantopus",""
"Red-necked Avocet","Recurvirostra novaehollandiae",""
"Banded Stilt","Cladorhynchus leucocephalus",""
"Pacific Golden Plover","Pluvialis fulva",""
"American Golden Plover","Pluvialis dominicus","vagrant"
"Grey Plover","Pluvialis squatarola",""
"Ringed Plover","Charadrius hiaticula","vagrant"
"Little Ringed Plover","Charadrius dubius","vagrant"
"Kentish Plover","Charadrius alexandrinus","vagrant"
"Red-capped Plover","Charadrius ruficapillus",""
"Double-banded Plover","Charadrius bicinctus",""
"Lesser Sand Plover","Charadrius mongolus",""
"Greater Sand Plover","Charadrius leschenaultii",""
"Caspian Plover","Charadrius asiaticus","vagrant"
"Oriental Plover","Charadrius veredus",""
"Inland Dotterel","Charadrius australis",""
"Black-fronted Dotterel","Elseyornis melanops",""
"Hooded Plover","Thinornis rubricollis",""
"Red-kneed Dotterel","Erythrogonys cinctus",""
"Banded Lapwing","Vanellus tricolor",""
"Masked Lapwing","Vanellus miles",""
"Grey-headed Lapwing","Vanellus cinereus","vagrant"
"Plains Wanderer","Pedionomus torquatus",""
"Comb-crested Jacana","Irediparra gallinacea",""
"Pheasant-tailed Jacana","Hydrophasianus chirurgus","vagrant"
"Australian Painted Snipe","Rostratula australis",""
"Latham's Snipe","Gallinago hardwickii",""
"Pin-tailed Snipe","Gallinago stenura","vagrant; Christmas Island"
"Swinhoe's Snipe","Gallinago megala",""
"Black-tailed Godwit","Limosa limosa",""
"Hudsonian Godwit","Limosa haemastica","vagrant"
"Bar-tailed Godwit","Limosa lapponica",""
"Little Curlew","Numenius minutus",""
"Whimbrel","Numenius phaeopus",""
"Eastern Curlew","Numenius madagascariensis",""
"Upland Sandpiper","Bartramia longicauda","vagrant"
"Terek Sandpiper","Xenus cinereus",""
"Common Sandpiper","Actitis hypoleucos",""
"Green Sandpiper","Tringa ochropus","vagrant"
"Grey-tailed Tattler","Tringa brevipes",""
"Wandering Tattler","Tringa incana",""
"Spotted Redshank","Tringa erythropus","vagrant"
"Nordmann's Greenshank","Tringa guttifer","vagrant"
"Common Greenshank","Tringa nebularia",""
"Lesser Yellowlegs","Tringa flavipes","vagrant"
"Marsh Sandpiper","Tringa stagnatilis",""
"Common Redshank","Tringa totanus",""
"Wood Sandpiper","Tringa glareola",""
"Ruddy Turnstone","Arenaria interpres",""
"Asian Dowitcher","Limnodromus semipalmatus",""
"Short-billed Dowitcher","Limnodromus griseus","vagrant"
"Great Knot","Calidris tenuirostris",""
"Red Knot","Calidris canutus",""
"Sanderling","Calidris alba",""
"Little Stint","Calidris minuta",""
"Red-necked Stint","Calidris ruficollis",""
"Long-toed Stint","Calidris subminuta",""
"White-rumped Sandpiper","Calidris fuscicollis","vagrant"
"Baird's Sandpiper","Calidris bairdii","vagrant"
"Pectoral Sandpiper","Calidris melanotos",""
"Sharp-tailed Sandpiper","Calidris acuminata",""
"Dunlin","Calidris alpina","vagrant"
"Curlew Sandpiper","Calidris ferruginea",""
"Stilt Sandpiper","Calidris himantopus","vagrant"
"Buff-breasted Sandpiper","Tryngites subruficollis","vagrant"
"Broad-billed Sandpiper","Limicola falcinellus",""
"Ruff","Philomachus pugnax",""
"Wilson's Phalarope","Steganopus tricolor","vagrant"
"Red-necked Phalarope","Phalaropus lobatus",""
"Grey Phalarope","Phalaropus fulicarius","vagrant"
"Red-backed Button-quail","Turnix maculosus",""
"Black-breasted Button-quail","Turnix melanogaster",""
"Chestnut-backed Button-quail","Turnix castanotus",""
"Buff-breasted Button-quail","Turnix olivii",""
"Painted Button-quail","Turnix varius",""
"Red-chested Button-quail","Turnix pyrrhothorax",""
"Little Button-quail","Turnix velox",""
"Oriental Pratincole","Glareola maldivarum",""
"Australian Pratincole","Stiltia isabella",""
"South Polar Skua","Stercorarius maccormicki",""
"Brown Skua","Stercorarius antarcticus",""
"Pomarine Jaeger","Stercorarius pomarinus",""
"Arctic Jaeger","Stercorarius parasiticus",""
"Long-tailed Jaeger","Stercorarius longicauda",""
"Common Noddy","Anous stolidus",""
"Black Noddy","Anous minutus",""
"Lesser Noddy","Anous tenuirostris",""
"White Tern","Gygis alba","vagrant; Lord Howe Island; Cocos (Keeling) Islands; Norfolk Island"
"Grey Ternlet","Procelsterna cerulea","vagrant; Lord Howe Island; Norfolk Island"
"Bridled Tern","Onychoprion anaethetus",""
"Sooty Tern","Onychoprion fuscata",""
"Little Tern","Sternula albifrons",""
"Fairy Tern","Sternula nereis",""
"Gull-billed Tern","Gelochelidon nilotica",""
"Caspian Tern","Hydroprogne caspia",""
"Whiskered Tern","Chlidonias hybrida",""
"White-winged Black Tern","Chlidonias leucopterus",""
"Black Tern","Chlidonias niger","vagrant"
"Roseate Tern","Sterna dougallii",""
"White-fronted Tern","Sterna striata",""
"Black-naped Tern","Sterna sumatrana",""
"Common Tern","Sterna hirundo",""
"Arctic Tern","Sterna paradisaea",""
"Antarctic Tern","Sterna vittata","vagrant; Macquarie Island; Heard Island"
"Lesser Crested Tern","Thalasseus bengalensis",""
"Crested Tern","Thalasseus bergii",""
"Pacific Gull","Larus pacificus",""
"Lesser Black-backed Gull","Larus fuscus","vagrant, Cocos (Keeling) Islands"
"Kelp Gull","Larus dominicanus",""
"Mew Gull","Larus canus","vagrant, Christmas Island"
"Black-tailed Gull","Larus crassirostris","vagrant"
"Laughing Gull","Leucophaeus atricilla","vagrant"
"Franklin's Gull","Leucophaeus pipixcan","vagrant"
"Silver Gull","Chroicocephalus novaehollandiae",""
"Black-headed Gull","Chroicocephalus ridibundus","vagrant"
"Sabine's Gull","Xema sabini","vagrant"
"Norfolk Island Kaka","Nestor productus","extinct, Norfolk Island"
"Palm Cockatoo","Probosciger aterrimus",""
"Red-tailed Black-Cockatoo","Calyptorhynchus banksii",""
"Glossy Black-Cockatoo","Calyptorhynchus lathami",""
"Yellow-tailed Black-Cockatoo","Calyptorhynchus funereus",""
"Carnaby's Black-Cockatoo","Calyptorhynchus latirostris",""
"Baudin's Black-Cockatoo","Calyptorhynchus baudinii",""
"Gang-gang Cockatoo","Callocephalon fimbriatum",""
"Major Mitchell's Cockatoo","Lophochroa leadbeateri",""
"Galah","Eolophus roseicapilla",""
"Long-billed Corella","Cacatua tenuirostris",""
"Western Corella","Cacatua pastinator",""
"Little Corella","Cacatua sanguinea",""
"Sulphur-crested Cockatoo","Cacatua galerita",""
"Cockatiel","Nymphicus hollandicus",""
"Rainbow Lorikeet","Trichoglossus haematodus",""
"Scaly-breasted Lorikeet","Trichoglossus chlorolepidotus",""
"Varied Lorikeet","Psitteuteles versicolor",""
"Musk Lorikeet","Glossopsitta concinna",""
"Little Lorikeet","Glossopsitta pusilla",""
"Purple-crowned Lorikeet","Glossopsitta porphyrocephala",""
"Double-eyed Fig-Parrot","Cyclopsitta diophthalma",""
"Eclectus Parrot","Eclectus roratus",""
"Red-cheeked Parrot","Geoffroyus geoffroyi",""
"Australian King-Parrot","Alisterus scapularis",""
"Red-winged Parrot","Aprosmictus erythropterus",""
"Superb Parrot","Polytelis swainsonii",""
"Regent Parrot","Polytelis anthopeplus",""
"Princess Parrot","Polytelis alexandrae",""
"Green Rosella","Platycercus caledonicus",""
"Crimson Rosella","Platycercus elegans",""
"Eastern Rosella","Platycercus eximius",""
"Pale-headed Rosella","Platycercus adscitus",""
"Northern Rosella","Platycercus venustus",""
"Western Rosella","Platycercus icterotis",""
"Australian Ringneck","Barnardius zonarius",""
"Red-capped Parrot","Purpureicephalus spurius",""
"Bluebonnet","Northiella haematogaster",""
"Swift Parrot","Lathamus discolor",""
"Red-rumped Parrot","Psephotus haematonotus",""
"Mulga Parrot","Psephotus varius",""
"Golden-shouldered Parrot","Psephotus chrysopterygius",""
"Hooded Parrot","Psephotus dissimilis",""
"Paradise Parrot","Psephotus pulcherrimus","extinct"
"Tasman Parakeet","Cyanoramphus cookii",""
"Norfolk Island Green Parrot","Norfolk Island","locally extinct"
"Lord Howe Red-crowned Parakeet","Lord Howe Island",""
"Red-fronted Parakeet","Cyanoramphus novaezelandiae","locally extinct, Macquarie Island"
"Budgerigar","Melopsittacus undulatus",""
"Bourke's Parrot","Neopsephotus bourkii",""
"Blue-winged Parrot","Neophema chrysostoma",""
"Elegant Parrot","Neophema elegans",""
"Rock Parrot","Neophema petrophila",""
"Orange-bellied Parrot","Neophema chrysogaster",""
"Turquoise Parrot","Neophema pulchella",""
"Scarlet-chested Parrot","Neophema splendida",""
"Eastern Ground Parrot","Pezoporus wallicus",""
"Western Ground Parrot","Pezoporus flaviventris",""
"Night Parrot","Pezoporus occidentalis",""
"Lesser Coucal","Centropus bengalensis","vagrant, Ashmore Reef"
"Pheasant Coucal","Centropus phasianinus",""
"Asian Koel","Eudynamys scolopaceus","vagrant, Christmas Island"
"Eastern Koel","Eudynamys orientalis",""
"Long-tailed Cuckoo","Eudynamys taitensis","Lord Howe Island, Norfolk Island"
"Channel-billed Cuckoo","Scythrops novaehollandiae",""
"Horsfield's Bronze Cuckoo","Chalcites basalis",""
"Black-eared Cuckoo","Chalcites osculans",""
"Shining Bronze Cuckoo","Chalcites lucidus",""
"Little Bronze Cuckoo","Chalcites minutillus",""
"Pallid Cuckoo","Cacomantis pallidus",""
"Chestnut-breasted Cuckoo","Cacomantis castaneiventris",""
"Fan-tailed Cuckoo","Cacomantis flabelliformis",""
"Brush Cuckoo","Cacomantis variolosus",""
"Oriental Cuckoo","Cuculus optatus",""
"Large Hawk-Cuckoo","Hierococcyx sparverioides","vagrant, Christmas Island"
"Powerful Owl","Ninox strenua",""
"Rufous Owl","Ninox rufa",""
"Barking Owl","Ninox connivens",""
"Southern Boobook","Ninox novaeseelandiae",""
"Brown Hawk-Owl","Ninox scutulata","vagrant, Ashmore Reef"
"Christmas Island Hawk-Owl","Ninox natalis","Christmas Island"
"Buffy Fish-Owl","Bubo ketupu","vagrant, Cocos (Keeling) Islands"
"Sooty Owl","Tyto tenebricosa",""
"Masked Owl","Tyto novaehollandiae",""
"Eastern Barn Owl","Tyto javanica",""
"Eastern Grass Owl","Tyto longimembris",""
"Common Kingfisher","Alcedo atthis","vagrant, Christmas Island"
"Azure Kingfisher","Ceyx azureus",""
"Little Kingfisher","Ceyx pusilla",""
"Buff-breasted Paradise-Kingfisher","Tanysiptera sylvia",""
"Little Paradise-kingfisher","Tanysiptera hydrocharis","vagrant"
"Common Paradise-kingfisher","Tanysiptera galatea","vagrant"
"Laughing Kookaburra","Dacelo novaeguineae",""
"Blue-winged Kookaburra","Dacelo leachii",""
"Yellow-billed Kingfisher","Syma torotoro",""
"Forest Kingfisher","Todiramphus macleayii",""
"Red-backed Kingfisher","Todiramphus pyrrhopygia",""
"Sacred Kingfisher","Todiramphus sanctus",""
"Collared Kingfisher","Todiramphus chloris",""
"Black-capped Kingfisher","Halcyon pileata","vagrant"
"Rainbow Bee-eater","Merops ornatus",""
"Dollarbird","Eurystomus orientalis",""
"Red-bellied Pitta","Pitta erythrogaster",""
"Blue-winged Pitta","Pitta moluccensis","vagrant"
"Noisy Pitta","Pitta versicolor",""
"Rainbow Pitta","Pitta iris",""
"Fairy Pitta","Pitta nympha","vagrant"
"Albert's Lyrebird","Menura alberti",""
"Superb Lyrebird","Menura novaehollandiae",""
"Rufous Scrub-bird","Atrichornis rufescens",""
"Noisy Scrub-bird","Atrichornis clamosus",""
"White-throated Treecreeper","Cormobates leucophaea",""
"White-browed Treecreeper","Climacteris affinis",""
"Red-browed Treecreeper","Climacteris erythrops",""
"Brown Treecreeper","Climacteris picumnus",""
"Black-tailed Treecreeper","Climacteris melanura",""
"Rufous Treecreeper","Climacteris rufa",""
"Spotted Catbird","Ailuroedus melanotis",""
"Green Catbird","Ailuroedus crassirostris",""
"Tooth-billed Bowerbird","Scenopoeetes dentirostris",""
"Golden Bowerbird","Amblyornis newtonianus",""
"Regent Bowerbird","Sericulus chrysocephalus",""
"Satin Bowerbird","Ptilonorhynchus violaceus",""
"Spotted Bowerbird","Ptilonorhynchus maculatus",""
"Western Bowerbird","Ptilonorhynchus guttatus",""
"Great Bowerbird","Ptilonorhynchus nuchalis",""
"Fawn-breasted Bowerbird","Ptilonorhynchus cerviniventris",""
"Superb Fairy-wren","Malurus cyaneus",""
"Splendid Fairy-wren","Malurus splendens",""
"Purple-crowned Fairy-wren","Malurus coronatus",""
"Red-backed Fairy-wren","Malurus melanocephalus",""
"White-winged Fairy-wren","Malurus leucopterus",""
"Variegated Fairy-wren","Malurus lamberti",""
"Lovely Fairy-wren","Malurus amabilis",""
"Blue-breasted Fairy-wren","Malurus pulcherrimus",""
"Red-winged Fairy-wren","Malurus elegans",""
"Southern Emu-wren","Stipiturus malachurus",""
"Mallee Emu-wren","Stipiturus mallee",""
"Rufous-crowned Emu-wren","Stipiturus ruficeps",""
"Grey Grasswren","Amytornis barbatus",""
"Striated Grasswren","Amytornis striatus",""
"Short-tailed Grasswren","Amytornis merrotsyi",""
"White-throated Grasswren","Amytornis woodwardi",""
